Nazwisko aktualne,Liczba
DUBIEL,4106
BIELAK,4105
ZAGÓRSKI,4100
ANDRZEJCZAK,4099
JANKOWIAK,4093
BIAŁY,4087
STASZEWSKI,4075
BOŻEK,4074
CISZEWSKI,4069
SIEDLECKI,4062
KUCHTA,4061
SŁOWIŃSKI,4061
KĘPA,4049
MODZELEWSKI,4048
ŚWIERCZYŃSKI,4046
PARTYKA,4045
KACZMARSKI,4043
PŁONKA,4043
SKÓRA,4040
ZWOLIŃSKI,4032
JANUSZ,4031
BIEŃKOWSKI,4025
GAŁKA,4021
SIERADZKI,4017
KAPUSTA,4006
MILCZAREK,4003
STACHURA,3984
JURKOWSKI,3983
SOCHACKI,3979
SZYSZKA,3966
SŁAWIŃSKI,3965
SZCZERBA,3965
JEZIERSKI,3963
STĘPNIAK,3961
PAWLIKOWSKI,3958
SITEK,3946
JACKOWSKI,3928
WOŚ,3923
KOLASA,3918
IWAŃSKI,3910
ROSA,3908
OLCZAK,3906
CHMURA,3905
LIPKA,3902
DUDZIK,3894
MROCZKOWSKI,3891
MAŃKOWSKI,3880
MAJKA,3879
MAŚLANKA,3877
KNAPIK,3874
BRODA,3872
DEC,3870
KWIECIŃSKI,3868
SKALSKI,3859
NOGA,3852
SZATKOWSKI,3829
TRZECIAK,3819
KOZA,3811
KITA,3809
KOGUT,3803
TOKARZ,3801
SALAMON,3796
FLORCZAK,3788
CHOJNOWSKI,3784
KOWALCZUK,3783
DUDZIAK,3780
MOLENDA,3773
WYSZYŃSKI,3773
MROZEK,3770
DOBRZYŃSKI,3768
STANISŁAWSKI,3768
LENART,3764
WŁODARSKI,3761
PASZKOWSKI,3760
KIEŁBASA,3758
MICHALCZYK,3757
PUCHALSKI,3757
KOTOWSKI,3754
SKOWRONEK,3753
KOBUS,3751
KOŁAKOWSKI,3750
KRUSZEWSKI,3744
BUCZYŃSKI,3743
ZDUNEK,3741
JANUSZEWSKI,3722
KAWA,3704
CHUDY,3701
DOMINIAK,3701
ŻUK,3697
CZECHOWSKI,3684
WARCHOŁ,3670
GRZESIK,3666
ADAMUS,3660
ADAMCZAK,3658
PILCH,3655
PIECHOTA,3654
ROBAK,3652
AUGUSTYN,3640
KOS,3638
KŁOSOWSKI,3629
MACIĄG,3629
ADAMEK,3625
WIĄCEK,3621
STOLARSKI,3614
GŁOGOWSKI,3611
CHUDZIK,3609
JAGIELSKI,3607
RYŚ,3603
JURCZAK,3602
BĄKOWSKI,3599
KOPER,3590
PRZYBYŁ,3587
KALISZ,3585
FILIPOWICZ,3582
ŻYŁA,3582
BANASIK,3581
TOMALA,3574
SURMA,3572
KUŹMA,3565
JARZĄBEK,3564
MARCHEWKA,3564
NIEDŹWIECKI,3562
RUDZIŃSKI,3562
PORĘBSKI,3558
KASPEREK,3556
BUDZYŃSKI,3545
DĄBKOWSKI,3545
STAŃCZAK,3540
OLEKSY,3531
SOŁTYSIAK,3522
RUDNIK,3521
PIŁAT,3516
KANIEWSKI,3513
NIEMCZYK,3507
KOPACZ,3506
WYPYCH,3505
JAROS,3502
BUCZKOWSKI,3500
PRUS,3497
ZIĘTEK,3497
MALIK,3493
GADOMSKI,3492
GORCZYCA,3490
MIŚKIEWICZ,3486
MOSKAL,3486
TRACZ,3466
SZELĄG,3463
GOLEC,3454
KUCIŃSKI,3449
BARTNIK,3448
TRELA,3432
DRABIK,3431
WOLIŃSKI,3422
BALCERZAK,3421
KORZENIOWSKI,3420
SOJKA,3417
KRUCZEK,3403
BŁASZCZAK,3393
GŁĄB,3389
WARZECHA,3389
RYBARCZYK,3386
SZYMKOWIAK,3383
STACHOWICZ,3381
PIOTROWICZ,3379
DRÓŻDŻ,3378
MAGIERA,3378
ZABŁOCKI,3376
SĘK,3374
STACHURSKI,3372
OSSOWSKI,3369
ŚLĘZAK,3368
KUJAWSKI,3366
RADECKI,3366
FRĄTCZAK,3361
PIETRUSZKA,3360
PELC,3357
BUDZIŃSKI,3356
JURCZYK,3356
ADAMIAK,3353
RUDZKI,3353
BIAŁKOWSKI,3342
LESIAK,3330
SZUBA,3329
ZIMNY,3321
KMIEĆ,3315
NIEDZIELSKI,3310
KULIŃSKI,3309
WOŹNICA,3307
KOZIK,3306
KRAKOWSKI,3303
KOSTECKI,3302
BIELSKI,3300
PEŁKA,3296
KOSOWSKI,3294
MIERZWA,3291
ŚWIDER,3291
ROMAN,3286
GRUDZIEŃ,3282
BIELIŃSKI,3281
OLCZYK,3280
TOMASIK,3274
BANASZEK,3272
SKORUPA,3270
SOBOTA,3270
ADAMOWICZ,3268
POLAŃSKI,3265
WOJTASIK,3263
STAWICKI,3254
GUT,3253
PAWLICKI,3249
WOŁOSZYN,3249
FURMAN,3247
GRZEŚKOWIAK,3246
SOBAŃSKI,3240
SEKUŁA,3239
URBANEK,3234
CZEKAJ,3228
ŚMIGIELSKI,3221
KAWECKI,3214
POGORZELSKI,3205
ROMANIUK,3199
PIWOWARSKI,3185
MILLER,3183
URBANOWICZ,3173
CZERNIAK,3169
TOKARCZYK,3165
WOJTKOWIAK,3165
LITWIN,3161
LORENC,3153
PIĘTKA,3151
BOGACZ,3149
KĘDZIOR,3141
LISZKA,3140
SZWARC,3133
ŻUCHOWSKI,3133
BISKUP,3132
KRASOWSKI,3128
JUSZCZYK,3126
KNAP,3125
ŚWIĄTKOWSKI,3123
MAKUCH,3117
SZAREK,3115
SZOT,3111
WIŚNIOWSKI,3111
NAPIERAŁA,3107
RATAJCZYK,3106
GRUDZIŃSKI,3103
GACEK,3102
IZDEBSKI,3101
KRUKOWSKI,3097
ROSZKOWSKI,3096
STUDZIŃSKI,3079
ŚLEDŹ,3077
KAWKA,3070
KWIATEK,3065
MACKIEWICZ,3063
HERMAN,3059
KARCZ,3057
SIWIEC,3047
MAŃKA,3046
JAKUBCZYK,3043
JÓŹWIK,3034
KUKLA,3033
PAPROCKI,3029
ROSZAK,3019
RYBKA,3016
KUSIAK,3009
ROŻEK,3009
WOJDA,3003
ŁUKASZEWICZ,3001
MAZIARZ,2999
DUSZYŃSKI,2997
BOBROWSKI,2992
JEZIORSKI,2992
RESZKA,2991
BORYS,2989
ALEKSANDROWICZ,2985
TKACZ,2982
GRZYBEK,2971
RUSEK,2970
TUROWSKI,2966
SMOLEŃ,2955
KRASZEWSKI,2954
ŚPIEWAK,2952
FILIP,2950
WACH,2949
MAŁKOWSKI,2943
SIDOR,2942
